clean_name,serial_num,clean_date,coast_name,lat,lng,coast_length,collect_bag,collect_val,trash_type,clean_status
김철수,20171202134325688,2017/12/02 13:34:04,길천리7,35.3248 ,129.2789 ,43 ,13 ,650 ,2 ,1
홍길동,20171202134509568,2017/12/02 13:46:25,대변항1,35.2245 ,129.2273 ,37 ,6 ,300 ,2 ,1
홍길동,20171202135207275,2017/12/02 13:53:03,대변항2,35.2245 ,129.2284 ,84 ,8 ,400 ,2 ,1
김철수,20171202135953544,2017/12/02 14:01:20,문동리2,35.3131 ,129.2615 ,38 ,3 ,150 ,2 ,1
홍길동,20171202140045601,2017/12/02 14:01:37,대변항3,35.2244 ,129.2295 ,28 ,5 ,250 ,2 ,1
홍길동,20171202140239762,2017/12/02 14:03:37,대변항3,35.2242 ,129.2303 ,33 ,4 ,200 ,2 ,1
김철수,20171202140632031,2017/12/02 14:08:20,문동리3,35.3100 ,129.2609 ,80 ,8 ,400 ,2 ,1
홍길동,20171202140813915,2017/12/02 14:10:32,대변항4,35.2236 ,129.2305 ,23 ,14 ,700 ,1 ,1
홍길동,20171202141534350,2017/12/02 14:16:25,대변항5,35.2231 ,129.2306 ,58 ,14 ,700 ,2 ,1
홍길동,20171202142025743,2017/12/02 14:21:14,대변항6,35.2226 ,129.2307 ,75 ,4 ,200 ,2 ,1
홍길동,20171202142458354,2017/12/02 14:25:48,대변항7,35.2222 ,129.2307 ,99 ,9 ,450 ,2 ,1
김철수,20171202143948788,2017/12/02 14:41:47,대변리1,35.2297 ,129.2415 ,49 ,15 ,750 ,1 ,1
김철수,20171202144746570,2017/12/02 14:49:22,대변리2,35.2259 ,129.2394 ,93 ,8 ,400 ,2 ,1
김철수,20171202145357788,2017/12/02 14:55:29,대변리3,35.2245 ,129.2402 ,59 ,2 ,100 ,2 ,1
홍길동,20171202145554897,2017/12/02 14:57:26,대변항8,35.2214 ,129.2302 ,43 ,11 ,550 ,2 ,1
김철수,20171202150219360,2017/12/02 15:03:32,대변리4,35.2231 ,129.2390 ,61 ,1 ,50 ,2 ,1
김철수,20171202151327743,2017/12/02 15:14:54,대변리5,35.2219 ,129.2388 ,82 ,13 ,650 ,2 ,1
홍길동,20171202152102812,2017/12/02 15:22:02,대변항9,35.2208 ,129.2307 ,26 ,3 ,150 ,2 ,1
김철수,20171202152050581,2017/12/02 15:22:16,대변리6,35.2209 ,129.2381 ,34 ,14 ,700 ,2 ,1
